Year,Rentals,Condos,Single + Detached,Other,Total,Non Rentals,Houses + Other
1969,39897,3586,35484,"2,479","81,446","41,549","37,963"
1970,38561,9881,26201,"2,032",76675,"38,114","28,233"
1971,41945,7652,38483,"1,900","89,980","48,035","40,383"
1972,46134,8427,46169,"2,203","102,933","56,799","48,372"
1973,37047,19794,50701,"2,994","110,536","73,489","53,695"
1974,22260,20920,39944,"2,379","85,503","63,243","42,323"
1975,10394,24309,42212,"3,053","79,968","69,574","45,265"
1976,12457,26992,40754,"4,479","84,682","72,225","45,233"
1977,15402,22020,38263,"3,445","79,130","63,728","41,708"
1978,21105,11781,36556,"2,268","71,710","50,605","38,824"
1979,11938,7328,36160,"1,461","56,887","44,949","37,621"
1980,11642,5164,23321,0,"40,127","28,485","23,321"
1981,14366,5822,29973,0,"50,161","35,795","29,973"
1982,15875,2606,19927,100,"38,508","22,633","20,027"
1983,16647,3325,34967,0,"54,939","38,292","34,967"
1984,9413,5032,33726,0,"48,171","38,758","33,726"
1985,13080,6355,45436,0,"64,871","51,791","45,436"
1986,10774,11950,58746,0,"81,470","70,696","58,746"
1987,"15,078","17,776","59,132","1,723","93,900","78,822","61,046"
1988,"12,830","20,833","51,568","1,623","86,944","74,114","53,281"
1989,11436,20213,47472,1905,81026,"69,590","49,377"
1990,12158,11435,28104,1644,53341,"41,183","29,748"
1991,14519,4240,24813,2551,46123,"31,604","27,364"
1992,13798,2798,27917,4180,48693,"34,895","32,097"
1993,7974,3287,26332,1254,38847,"30,873","27,586"
1994,4148,3866,32516,1030,41560,"37,412","33,546"
1995,2884,5713,22685,611,31893,"29,009","23,296"
1996,1289,6145,31634,444,39512,"38,223","32,078"
1997,790,8254,40925,3,49972,"49,182","40,928"
1998,1181,9258,39649,0,50088,"48,907","39,649"
1999,1323,13316,48246,40,62925,"61,602","48,286"
2000,2045,13308,51966,104,67423,"65,378","52,070"
2001,2717,16815,50474,256,70262,"67,545","50,730"
2002,3886,13244,62305,180,79615,"75,729","62,485"
2003,4770,16837,58938,388,80933,"76,163","59,326"
2004,3624,18658,57607,5,79894,"76,270","57,612"
2005,3843,19836,49400,98,73177,"69,334","49,498"
2006,4133,18822,44816,10,67781,"63,648","44,826"
2007,2994,14155,45626,0,62775,"59,781","45,626"
2008,3867,29443,38613,0,71923,"68,056","38,613"
2009,4811,14637,28460,31,47939,"43,128","28,491"
2010,3743,17693,35650,18,57104,"53,361","35,668"
2011,4785,24959,35466,30,65240,"60,455","35,496"
2012,4891,34633,34888,2,74414,"69,523","34,890"
2013,3888,23427,31299,0,58614,"54,726","31,299"
2014,5053,20045,31064,0,56162,"51,109","31,064"
2015,6644,27911,33729,8,68292,"61,648","33,737"
2016,7367,25340,39148,8,71863,"64,496","39,156"
